city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
165,Bodden Town,KY,2022-06-04 18:39:40,19.2833,-81.25,87.01,77,20,12.66
166,Kabinda,CD,2022-06-04 18:39:41,-6.1333,24.4833,71.83,53,6,4.99
167,Okhotsk,RU,2022-06-04 18:39:41,59.3833,143.3,45.84,78,64,2.68
168,Whitianga,NZ,2022-06-04 18:39:42,-36.8333,175.7,58.14,77,100,11.68
169,Manado,ID,2022-06-04 18:39:42,1.487,124.8455,74.17,94,20,1.14
170,Ukiah,US,2022-06-04 18:39:43,39.1502,-123.2078,69.44,52,100,6.91
171,Seoul,KR,2022-06-04 18:39:36,37.5683,126.9778,73.0,56,0,8.05
172,Beloha,MG,2022-06-04 18:39:43,-25.1667,45.05,66.52,81,7,13.18
173,Chuy,UY,2022-06-04 18:39:44,-33.6971,-53.4616,58.42,66,100,10.92
174,Pitimbu,BR,2022-06-04 18:39:44,-7.4706,-34.8086,77.59,77,80,10.27
175,Bambous Virieux,MU,2022-06-04 18:39:45,-20.3428,57.7575,74.21,73,40,14.97
176,Flinders,AU,2022-06-04 18:39:46,-34.5833,150.8552,58.37,61,4,5.99
177,Port Hardy,CA,2022-06-04 18:39:46,50.6996,-127.4199,57.38,77,75,10.36
178,Tiznit,MA,2022-06-04 18:39:47,29.5833,-9.5,63.57,75,11,6.55
179,Lorengau,PG,2022-06-04 18:39:47,-2.0226,147.2712,79.93,73,87,6.02
180,Poso,ID,2022-06-04 18:39:48,-1.3959,120.7524,76.1,83,98,3.78
181,Tasiilaq,GL,2022-06-04 18:39:48,65.6145,-37.6368,39.36,66,84,8.68
182,Rio Gallegos,AR,2022-06-04 18:39:49,-51.6226,-69.2181,39.16,60,43,9.84
183,Storsteinnes,NO,2022-06-04 18:39:49,69.2408,19.2344,52.45,62,100,5.17
184,Mandalgovi,MN,2022-06-04 18:39:50,45.7625,106.2708,48.85,43,0,11.41
185,Nuuk,GL,2022-06-04 18:39:50,64.1835,-51.7216,59.61,26,0,5.75
186,Provideniya,RU,2022-06-04 18:39:51,64.3833,-173.3,50.47,52,57,4.32
187,Lalmohan,BD,2022-06-04 18:39:52,22.3384,90.7419,83.25,84,100,14.45
188,Northam,GB,2022-06-04 18:40:52,51.0333,-4.2167,62.62,75,100,11.7
189,Deputatskiy,RU,2022-06-04 18:40:53,69.3,139.9,45.97,80,69,4.14
190,New Norfolk,AU,2022-06-04 18:40:53,-42.7826,147.0587,42.93,82,100,1.41
191,Vardo,NO,2022-06-04 18:40:54,70.3705,31.1107,44.58,100,100,12.66
192,Abong Mbang,CM,2022-06-04 18:40:55,3.9833,13.1833,67.87,98,100,5.95
193,Tiksi,RU,2022-06-04 18:40:55,71.6872,128.8694,49.28,77,100,9.1
194,Bahir Dar,ET,2022-06-04 18:40:56,11.5936,37.3908,65.5,67,67,6.62
195,Virginia Beach,US,2022-06-04 18:39:21,36.8529,-75.978,85.05,47,20,8.05
196,Yulara,AU,2022-06-04 18:40:57,-25.2406,130.9889,51.96,52,0,7.78
197,Barrow,US,2022-06-04 18:40:57,71.2906,-156.7887,28.42,86,100,25.32
198,Del Rio,US,2022-06-04 18:40:58,29.3627,-100.8968,91.8,40,0,18.41
199,Ancud,CL,2022-06-04 18:40:58,-41.8697,-73.8203,48.22,79,68,4.34
200,Dongargaon,IN,2022-06-04 18:40:59,20.9667,80.85,92.37,21,46,7.58
201,Bajos De Haina,DO,2022-06-04 18:41:00,18.4154,-70.0332,91.33,67,40,13.8
202,Liberty,US,2022-06-04 18:41:00,31.8335,-81.5004,86.25,71,75,11.01
203,Mareeba,AU,2022-06-04 18:41:01,-17.0,145.4333,65.12,98,38,2.55
204,Amberley,US,2022-06-04 18:41:01,39.2048,-84.428,83.08,35,0,3.0
205,Kandrian,PG,2022-06-04 18:41:02,-6.2167,149.55,76.69,88,7,3.74
206,San Lorenzo,PY,2022-06-04 18:41:02,-25.3333,-57.5333,68.94,73,75,7.0
207,Alta Gracia,AR,2022-06-04 18:41:03,-31.6529,-64.4283,67.55,38,0,11.05
208,Cabo San Lucas,MX,2022-06-04 18:39:08,22.8909,-109.9124,88.9,50,0,8.05
209,Ekhabi,RU,2022-06-04 18:41:03,53.5102,142.9671,40.12,83,20,7.54
